l_category_id,title
1,連れ去る
1,つわり(悪阻)
1,デート
1,出かける
1,テスト
1,手伝ってもらう
1,手間取る
1,照れる
1,手をつなぐ
1,手を振る
1,転勤
1,電撃
1,転校
1,転職
1,点滴
1,転倒
1,電話がなる
1,トイレを探す
1,胴上げ
1,倒壊
1,倒産
1,同棲
1,盗難
1,逃亡
1,動揺
1,読書
1,独占
1,トゲが刺さる
1,溶ける
1,登山
1,閉じ込められる
1,閉じる
1,年をとる
1,唱える
1,怒鳴る
1,飛び降りる
1,飛び込む
1,飛ぶ(飛んだ)
1,跳ぶ
1,共食い
1,ドライブ
1,撮られる
1,取り残される
1,撮る
1,内緒(内緒話)
1,直す
1,泣かせる
1,仲直り
1,仲間はずれにされる
1,仲間はずれにする
1,眺める
1,泣かれる
1,泣く
1,鳴く
1,なぐさめられる
1,なくす
1,亡くなる
1,殴られる
1,殴る
1,嘆く
1,投げる
1,懐かしい
1,撫でる(なでる)
1,名前を見る
1,舐められる
1,舐める
1,悩む
1,匂い
1,苦手
1,逃げ出す
1,逃げる
1,荷造り
1,荷物を運ぶ
1,入院
1,入浴
1,人間ドッグ
1,縫う
1,脱がされる
1,脱ぐ
1,ぬくもり
1,脱げる
1,盗まれる
1,盗み聞き
1,盗む
1,ぬりえ
1,塗りつぶす
1,塗る
1,濡れる
1,願う
1,寝たふり
1,ねだる
1,眠る(寝る)
1,眠れない(寝れない)
1,狙われる
1,念仏
1,能力
1,のけものにされる
1,のけものにする
1,覗かれる
1,覗く
1,ノック
1,のぼる
1,登る
1,飲む
1,乗り遅れる
1,乗る
1,バイト
1,這う
1,破壊
1,吐き気
1,吐く
1,爆発
1,励ます
1,はげる(ハゲ)
1,破産
1,走る
1,恥をかかせる
1,恥をかく
1,恥ずかしい
1,働く
1,蜂に刺される
1,バック(バッグ)を失う
1,バック(バッグ)を拾う
1,抜擢される
1,派手
1,話し合い
1,話す
1,離れる
1,跳ねる
1,歯の治療
1,歯磨き(はみがき、ハミガキ)
1,腹をくだす
1,歯を磨く
1,反省する
1,引き返す
1,髭を剃る
1,尾行される
1,尾行する
1,ひざ枕(膝枕)
1,引っ越し(引越し)
1,ひったくり
1,人込み
1,一人ぼっち
1,避難
1,秘密
1,病気
1,表彰(表彰式)
1,開く
1,開ける
1,疲労
1,火を消す
1,不安
1,不快感
1,復縁
1,老ける
1,不足
1,ぶつかる
1,ぶつ
1,太る
1,不満
1,ふられる
1,古い
1,震える
1,プレゼント
1,触れる
1,プロポーズ
1,部屋探し
1,勉強
1,変身
1,坊主になる
1,包装
1,抱擁
1,暴力
1,欲しがる
1,微笑む
1,褒められる(ほめられる)
1,褒める(ほめる)
1,呪う
1,呪われる
1,まずい
1,待ち合わせ
1,マッサージ(マッサージ機)
1,待つ
1,守る
1,迷う
1,マラソン
1,満員
1,万引き
1,満腹
1,味覚
1,見下す(見くだす)
1,短い
1,水遊び
1,水漏れ
1,道草
1,道に迷う
1,見守る
1,見る(見ている)
1,未練
1,結ぶ
1,メイク
1,メール
1,目隠し
1,目が覚める
1,目が見えない
1,目覚める
1,目立つ
1,面接
1,もがく
1,目的地に着く
1,潜る
1,もてなす
1,もてる
1,もどす
1,戻る
1,文句
1,ヤキモチ
1,約束をやぶる
1,約束
1,火傷
1,安い
1,安売り
1,痩せる
1,破る
1,山登り
1,誘拐される
1,誘拐する
1,勇気づける
1,優勝
1,融資
1,Uターン
1,誘惑される
1,行方不明
1,指をさされる
1,夢を見る
1,酔う
1,横入りされる
1,汚す
1,汚れる
1,よじ登る
1,呼ばれる
1,呼び止める
1,蘇る
1,読む
1,余命宣告
1,寄り道
1,ヨリを戻す
1,喜ぶ
1,落書き(らくがき)
1,落第
1,落下
1,ラッピング
1,離婚
1,リストラ
1,略奪
1,留年
1,両思い
1,両替
1,料理
1,ルール
1,留守番
1,留守
1,冷凍
1,老化
1,労働する
1,若返る
1,別れる
1,忘れ物
1,忘れる
1,渡される
1,渡す
1,笑いかけられる
1,笑う
1,笑わす
1,悪口
1,割り勘(ワリカン)
1,割り込まれる
1,割り込む
1,割る
1,割れる
1,見送る
1,笑われる
1,相合い傘
1,不法侵入
1,家出
1,嘘泣き
1,冒険
1,助ける
1,脱走
1,介護
1,看病
1,居眠り運転
1,砕ける
1,無免許運転
1,寝坊
1,居留守
1,避ける
1,避けられる
1,お祓い(お払い)
1,書道
1,撃つ
1,努力する
1,不潔
1,頑張る
1,一生懸命
1,毛染め
1,ヘアカラー
1,かくれんぼ
1,腕枕
1,銃声
1,爆音
1,逮捕
1,着替える
1,裁縫
1,添い寝
1,変装
1,習字
1,着る
1,寝過ごす
1,睡眠
1,バレーボール
1,金髪
1,じゃんけん(ジャンケン)
1,無視する
1,無視される
1,厄払い
1,臭う(匂う)
1,ずる休み(ズル休み)
1,焦る
1,宝探し
1,絶交
1,献血
1,香り(香る)
1,お産
1,二股
1,仮病
1,ボイコット
1,無断欠勤
1,散歩
1,給食
1,会食
1,着信拒否する
1,着信拒否される
1,故障
1,人身事故
1,告白される
1,告白する
1,嗅ぐ
1,追突
1,奢る(おごる)
1,奢ってもらう(おごってもらう)
1,立候補
1,投票
1,社長になる
1,経営者になる
1,オーナーになる
1,事業をおこす
1,起業
1,高いところから落ちる
1,首を絞められる
1,置いてきぼり
1,お金をなくす
1,犬に噛まれる
1,転落
1,暗いところに落ちる
1,お金を拾う
1,お金を落とす
1,お金をあげる
1,お金が足りない
1,お金持ちになる
1,お金を貰う
1,犬を飼う
1,犬と散歩する
1,片付かない
1,運転してもらう
1,自分が死ぬ
1,買い漁る
1,置いていかれる
1,遭難
1,信仰
1,再会
1,会う
1,捕まえる
1,調べる
1,凶暴
1,仲間外れ
1,仲間はずれにされる
1,仲間はずれにする
1,合唱
1,コーラス
1,虐待
1,虐待される
1,虐待する
1,脱獄
1,はぐれる
1,人探し
1,喫煙
1,起床
1,崩落
1,紛失する
1,逃走
1,全裸
1,警告
1,連れていかれる
1,壊す
1,破壊する
1,暴れる
1,置き去り
1,家屋崩壊
1,家を荒らされる
1,悲しい(悲しむ)
1,貰う(もらう)
1,眠い
